리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
깔끔해서 입기 편해요그렇게 두껍지 않아서 이너로도 괜찮을것 같아요 ,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
깔끔해서 입기 편해요그렇게 두껍지 않아서 이너로도 괜찮을것 같아요 ,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
거짓말 하나 안보태고  제가 무신사 스탠다드에서 샀던 제품중에 가장 마음에 드는 제품입니다  재질이며  퀄리티  가성비 뭐 하나 빠지는게 없습니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
재질이 한 번 빨았는데 보풀 올라오는 듯 요 ㅠ 사이즈는 갠찮아요,남성, 172cm, 80kg,보통이에요,보통이에요,흐려요,보통이에요
기본티로 딱이에요 간절기에 이것만 입습니다 추천,남성, 185cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
넥라인 깔끔하고 재질이 일반적이지 않아서 좋아요나름 헬매인데 사이즈 하나 다운하니 딱 좋아요,남성, 178cm, 84kg,보통이에요,보통이에요,보통이에요,보통이에요
진짜 기본아이템으로 너무 좋음 다른 거 필요없이 너무 깔끔하네요,남성, 178cm, 75kg,보통이에요,보통이에요,선명해요,보통이에요
색깔 두께 핏 모두 만족합니다  정장에 같이 입을 용도로 샀는데 평소에도 자주 입을거같아요,NaN,NaN,NaN,보통이에요,밝아요,선명해요,두꺼워요
벌써 2개째 사는 폰테 크루넥 티셔츠 넥라인 색감 핏 모두 마음에 들어용,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
살짝 오버핏한 긴팔티가 꽤나 다양한 스타일에도 잘 어울릴 듯 합니다  가을에 잘 입을 듯 합니다 ,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
그냥 흰색 기본 긴팔티 찾으시는 분들 추천드려요저한텐 팔길이가 좀 짧았어요 ,NaN,NaN,NaN,작아요,보통이에요,보통이에요,보통이에요
넥라인이 두껍지 않고 얇아서 더 좋습니다  블레이져나 가디건 이너로 딱이고요  다른 리뷰에 커서 한사이즈 작게해도 된다고 했는데 작게하는 게 낫습니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,얇아요
봄가을에 입기좋은 긴팔티  하나씩은 있으면좋아요  ,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
흰색티 찾고 있었는데 좋은 티 찾은거 같아요 무난하고 좋네요,남성, 168cm, 65kg,커요,밝아요,선명해요,보통이에요
지금  입기에는   덥지만    레이어드  용으로  는  괜찮은거  같습니다  깔끔 합니다,남성, 176cm, 76kg,보통이에요,보통이에요,선명해요,보통이에요
정사이즈로 입으니깐 살짝 오버핏으로 잘맞아요 단품으로 입어도좋고 이너로 입어도 좋을거같네요 ,남성, 185cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
시보리가 얇거나 없는 티셔츠를 구매하고 싶어서 구매했는데 잘 입고 있습니다  평소     정도 입는데 이 제품은   선택했는데 넉넉하게 잘 맞네요 ,남성, 172cm, 72kg,보통이에요,밝아요,보통이에요,보통이에요
옆에 트임이 있어서 좋구 생각보다 긴 감이 있긴 한데 넣어입으면 델 거 같아용,NaN,NaN,NaN,보통이에요,어두워요,선명해요,보통이에요
요즈음 입으면 더움 넥라인얇고 비침은 없ㅇ습니당ㄷ,NaN,NaN,NaN,보통이에요,밝아요,선명해요,두꺼워요
가성비 개꿀   진짜 쟁여둬도 되는 개꿀템입니다  꼭 사세요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
기본 템으로 좋습니다 색깔별로 모으는 중입니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
약간 비춤이 있긴한데 잘입고다니고 있습니다 끝,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
목에 시보리도 너무 좋고 재질도 고급져서 만족해요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,두꺼워요
가성비가 좋아요 윈단은 살짝 두툼하고 편안하게 입기에 좋습니다,남성, 178cm, 56kg,보통이에요,보통이에요,보통이에요,보통이에요
쫀쫀하고 넥 깔끔해서 이너로 좋아요어깨부분이 살짝 각진건 아쉽,남성, 187cm, 90kg,보통이에요,보통이에요,보통이에요,보통이에요
세미 오버로 샀는데 블랙이라 활용도 좋아서 잘 입을것 같아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
가격도 저렴하고 넥라인도 깔끔해서 무난하게 입기 좋은거같아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,얇아요
깰끔스 아주 일년에 몇 번 재구매하는지 모르겠습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
기본템으로 충실합니다 이너로 구입했는데 딱이에요 ,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
무난무난하게 입기에 깔끔하니 좋네요   강추드립니다 ,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
남자친구 사준건데 이거 진짜 물건이네오   질이 너무 좋아요    배송이 많이 늦긴 했지만 질 좋아서 다 용서 되네요  ㅎㅎ 가디건 안에 입거나 단독으로 청바지나 반바지에 입어도 예쁠듯  ,NaN,NaN,NaN,보통이에요,밝아요,보통이에요,보통이에요
잘받았습니다 기본티로서 활용도가 높을거같아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
2   딱 좋습니다세탁해도 늘어짐 없이 그대로예요가격대비 원단시 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
너무 이뻐요 가성비 최고   무난하게 입기에 최고입니다 ,남성, 170cm, 64kg,보통이에요,밝아요,선명해요,얇아요
기본 티로 딱 좋음  넥라인이 미니멀해서 자켓 이너로 좋아요,남성, 178cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
재질도 좋고 요즘같은 날씨에도 아주 좋아서 잘 입고 있어요,남성, 173cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
레이어드 하기 좋습니다  옆 트임이 있어 활동성도 좋아요,남성, 174cm, 74kg,보통이에요,보통이에요,보통이에요,보통이에요
이너로 장난 아닙니다 퀄리티 니트안에 입었을때 잡아주는 느낌 최고고 단품으로도 멋스러워요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 딱 여유롭고 편하게 입기 너무 좋을 것 같아요 할인 가격에 구매해서 만족합니다 ㅎㅎ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 딱 여유롭고 편하게 입기 너무 좋을 것 같아요 할인 가격에 구매해서 만족합니다 ㅎㅎ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 딱 여유롭고 편하게 입기 너무 좋을 것 같아요 할인 가격에 구매해서 만족합니다 ㅎㅎ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
