gender,height,weight,item,content,size,brightness,color,thickness
남성, 176cm,70kg,에센셜 쿨 코튼 2-PACK 티셔츠,한 사이즈 업해서 입으니 핏이 더 좋네요. 소재가 그냥 면이랑 달라용 좀더 운동복 소재같아여,보통이에요,보통이에요,보통이에요,보통이에요
남성, 165cm,58kg,에센셜 쿨 코튼 2-PACK 티셔츠,적당한 두께감을 가져서 안에 비치지가 않다보니 더욱 좋아요. 2팩이라 가성비가 너무 좋아요. 쿨 코튼이라 사원하고 금방 말아요. 커버낫 브랜드라서 이뻐요.목이 좀 많이 조이다보나 초반엔 불편한데 입다보니 적응 되기도 했고 조금씩 늘어나기도 해요. 하지만 목 부분이 좀 좁은 편이에요.,보통이에요,밝아요,선명해요,보통이에요
남성, 173cm,85kg,에센셜 쿨 코튼 2-PACK 티셔츠,너무 편하고 좋아요! 잘입고 있어요흰색보다 검은색이 더 맘에듭니다ㅋㅋ,보통이에요,보통이에요,보통이에요,보통이에요
남성, 177cm,60kg,에센셜 쿨 코튼 2-PACK 티셔츠,너무 좋아요!! 기본티 알아보다가 쿨 코튼이라길래 사봤는데 정말 얇고 무엇보다 목이 엄청 짱짱해서 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 178cm,82kg,에센셜 쿨 코튼 2-PACK 티셔츠,휴가나가서 시원하고 편하게 잘 입었습니다 좋아요!,보통이에요,보통이에요,보통이에요,보통이에요
남성, 170cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,M사이즈를 살까 L사이즈를 살까 고민했는데 M사이즈가 딱이네용 ㅎ 저렴하게 기본템 구매해서 매우 만족합니당,보통이에요,보통이에요,보통이에요,보통이에요
남성, 173cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,그냥 가볍게 입을려고 산건데 시원하고 좋네요.요즘 같은 날씨라면 완전 추천!,보통이에요,보통이에요,보통이에요,얇아요
여성, 160cm,50kg,에센셜 쿨 코튼 2-PACK 티셔츠,검정 흰색 기본티 하나씩 생겨서 너무 좋네요.ㅎㅎ 소재도 너무 좋아요 다만 팔 쪽이 조금 길어서 불편하네요,보통이에요,보통이에요,보통이에요,두꺼워요
남성, 172cm,82kg,에센셜 쿨 코튼 2-PACK 티셔츠,사이즈 여유있고 색상도 맘에 들어서 두번째 구매했어요 여러장 있어도 좋을옷 이네요 쿨원단이라 시원해요 ,보통이에요,밝아요,선명해요,보통이에요
남성, 179cm,70kg,쿨 코튼 2-PACK 티셔츠 화이트,편하게 입기 좋아요 ㅎㅎ 아무옷에나 대충 걸쳐도 다 잘 어울려요 손이 잘 가네요 시원하기도 하고요,보통이에요,밝아요,선명해요,보통이에요
남성, 172cm,62kg,에센셜 쿨 코튼 2-PACK 티셔츠,원플러스 원이라서 좋습니다. 로고가 작아서 튀지 않고 심플해서 맘에 들어요,보통이에요,보통이에요,보통이에요,보통이에요
